audit_date,scenario,feature,kind,result,logs_checked,issue,artifact,functional_signal,performance_signal,architecture_signal,operability_signal,security_signal,consistency_signal,documentation_signal,notes
2026-06-25,base-jsonl,file-lifecycle,user-scenario,PASS,"raw.log;events.log;output.jsonl",,drive-link,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"Create modify attrib ready delete"
2026-06-25,moves-jsonl,file-move,user-scenario,PASS,"events.log;output.jsonl",,drive-link,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"Rename move relocate for files"
2026-06-25,moves-jsonl,dir-move,user-scenario,PASS,"events.log;output.jsonl",,drive-link,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"Rename move relocate for directories"
2026-06-25,lost-scope-jsonl,lost-scope-recovery,edge-case,PASS,"events.log;output.jsonl",,drive-link,intermedia,not-measured,media,media,medium,parziale,usabile,"Watch stale lost scan found recovery"
2026-06-25,root-file-onlydir,root-validation,edge-case,FAIL,"events.log;errors.log;raw.log",#30,drive-link,iniziale,not-measured,media,bassa,high-risk,incoerente,parziale,"Regular-file root starts event loop"
2026-07-01,base-jsonl-lifecycle,file-lifecycle,user-scenario,PASS,"raw.log;events.log;output.jsonl",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"Rerun on 09409b7 after Backend API v0 lifecycle work"
2026-07-01,moves-jsonl,file-move,user-scenario,PASS,"events.log;output.jsonl",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"File rename move relocate still healthy after recent wiring"
2026-07-01,moves-jsonl,dir-move,user-scenario,PASS,"events.log;output.jsonl",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"Directory rename move relocate still healthy after recent wiring"
2026-07-01,lost-scope-jsonl,lost-scope-recovery,edge-case,PASS,"events.log;output.jsonl",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,intermedia,not-measured,media,media,medium,parziale,usabile,"Fresh validation for stale watch and lost-scope recovery"
2026-07-01,audit-raw-events,raw-audit-opt-in,user-scenario,PASS,"raw.log;events.log;output.jsonl",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,iniziale/intermedia,not-measured,media,media,medium,parziale,usabile,"Open access and close-nowrite raw audit opt-in still works"
2026-07-01,recursive-fast-mkdir-p,recursive-fast-mkdir-p,edge-case,PASS,"events.log;output.jsonl",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,intermedia,not-measured,media,alta,medium,parziale,usabile,"Fast recursive mkdir remains covered by exploratory scenario"
2026-07-01,output-disabled,structured-output-disabled,config-negative,PASS,"events.log",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"Compatibility events log remains active and output.jsonl is not produced"
2026-07-01,invalid-output-format,output-config-validation,config-negative,PASS,"events.log;errors.log;exit.status",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"Invalid structured output format fails before event loop"
2026-07-01,light-burst-jsonl,jsonl-light-burst,user-scenario,PASS,"events.log;errors.log;output.jsonl",#68,https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,intermedia,not-measured,media,alta,medium,mostly-consistent,buona,"80 FILE_CREATED records observed and JSONL validated line by line"
2026-07-01,root-file-should-fail,root-validation,edge-case,FAIL,"events.log;errors.log;raw.log;exit.status","#30;#68",https://drive.google.com/open?id=1CK9nHEJM8zwh-X_80FWjR-97_3VDDH3b,iniziale,not-measured,media,bassa,high-risk,incoerente,parziale,"Known failure reproduced on 09409b7"
